sell,experience,n.sheets,time,sex
855.2461708,5,35,night,female
1381.183249,10,68,night,female
1080.253645,6,41,night,female
857.4772447,4,23,night,female
592.7889197,4,18,night,female
709.1913784,3,24,night,female
587.362059,1,9,night,female
1131.775423,6,42,night,female
629.8835412,2,17,night,female
647.0006553,5,26,night,female
1020.912103,6,30,night,female
1428.506957,11,59,night,female
868.9628854,5,36,night,female
903.4932426,5,34,night,female
449.0531265,3,15,night,female
936.9722972,6,32,night,female
891.2346798,5,22,night,male
581.2719353,5,23,night,male
502.0431487,3,12,night,male
740.8823066,3,27,night,male
616.8868606,5,19,night,male
571.6714404,5,25,night,male
645.0963559,2,13,night,male
396.820186,1,10,night,male
877.5002361,6,32,night,male
1209.298472,8,50,night,male
860.1804579,5,32,night,male
999.2008392,5,34,night,male
907.4284929,5,34,night,male
1190.233955,10,57,night,male
824.6359415,5,24,night,male
836.616726,6,32,night,male
1162.261118,5,39,night,male
578.1740289,3,12,night,male
815.2814994,3,22,night,male
915.5162903,6,33,night,male
579.1951401,5,32,night,male
713.3888069,3,30,night,male
957.589774,6,40,night,male
678.6803664,2,17,night,male
705.727688,7,36,night,male
1066.169663,5,38,night,male
864.5574266,5,35,night,male
669.7122721,4,23,night,male
814.4388407,5,38,night,male
599.6106262,5,23,night,male
735.6331836,3,22,night,male
870.9369407,5,28,night,male
400.211704,2,14,night,male
554.5638021,4,17,night,male
828.5771722,3,25,night,male
804.6962915,4,30,night,male
1381.53685,8,51,night,male
914.5746673,5,26,night,male
1179.549803,7,48,night,male
1000.488445,8,40,night,male
697.9360782,4,18,night,male
554.4093875,2,15,night,male
732.8017153,4,18,night,male
1028.021396,6,32,night,male
1003.342991,4,33,night,male
903.6755743,6,39,night,male
808.1123151,7,38,night,male
974.0344301,7,39,night,male
834.0889371,4,26,night,male
1000.099398,4,31,night,male
1063.139052,8,53,night,male
1066.438459,6,42,night,male
903.3499835,6,32,night,male
1074.395526,5,37,night,male
1207.209003,8,54,night,male
784.2701145,4,28,night,male
420.3185864,3,9,night,male
978.2579516,8,42,night,male
798.7876227,5,29,night,male
1430.055433,8,53,night,male
974.6531376,3,22,night,male
893.3296721,6,34,night,male
760.6332561,6,31,night,male
1147.706507,9,63,night,male
811.4671633,5,24,night,male
905.9426416,6,41,night,male
1033.465933,4,27,night,male
386.4382427,2,5,night,male
1041.110643,8,42,night,male
1246.027668,4,31,night,male
829.1090002,5,36,night,male
535.7566624,2,7,night,male
994.3105528,7,47,night,male
854.7653649,4,28,night,male
1017.673546,7,47,night,male
