y,x1,x2
12,3.607625831,4.251666705
3,9.038000309,8.336749647
2,3.940476174,3.225815485
2,7.798805274,9.718435139
3,2.841589465,4.658906555
1,8.53720767,9.335538389
1,1.722424685,6.320088946
1,0.792641821,3.775856453
2,2.920649773,1.240039067
0,8.403711778,8.284400299
25,9.452680806,5.121914453
16,0.449652001,4.650683827
0,7.583829076,9.236010667
9,2.96887998,4.231950946
5,6.510544389,0.227260699
1,0.849897843,7.670727896
8,9.75481075,0.299093802
0,0.136249315,8.481202917
27,5.388694517,0.999049731
1,9.657818016,3.793492489
6,1.010734441,3.990117735
1,2.567513427,7.780849643
58,8.951472212,0.260453853
6,3.879441908,4.914430499
1,7.942854448,8.443040722
1,3.493967599,9.322195889
1,1.387443068,8.65003325
0,6.505089835,6.728072278
2,5.440043078,1.993182402
0,9.452440473,5.694510832
6,5.717457465,1.661427154
0,9.536335892,6.507111834
1,7.802529987,3.425371039
3,1.182844543,0.987173922
9,8.371118088,2.123427065
0,0.871593177,5.9153946
2,7.485999626,5.17416086
2,0.651816572,7.642827078
2,0.776955693,6.705582982
2,1.050837685,4.00740101
5,4.066863551,0.634151057
8,9.749645132,3.748648174
4,1.648334959,0.612048111
1,5.030502356,8.37305381
1,2.015542039,2.863774002
1,1.997218484,7.96232969
1,1.781351112,6.22207806
5,2.738666818,6.490636964
2,1.306202407,5.239937091
5,8.586915864,9.272566475
1,6.451603619,8.992108863
0,6.027986659,7.474415998
14,9.719807119,5.551460043
1,3.766572336,3.556885449
23,8.191144872,0.550858576
2,2.267387595,9.392190895
2,2.065085024,4.128771569
0,1.942891942,9.900774613
8,2.405682055,0.073029434
0,9.79721972,9.191571535
21,5.242501509,1.593924237
14,8.263707208,1.732894506
11,6.708854958,2.983373466
2,9.777148368,7.976624658
5,0.576484518,2.104909024
4,3.367411573,7.687957166
0,0.126070096,5.355768176
15,3.628562856,5.490328311
24,2.096943003,2.701248636
2,1.521206356,9.400702424
0,9.358124097,8.890751444
8,4.010929579,9.226693262
0,4.858364456,3.018866791
1,6.814864462,3.598883767
2,8.540354865,7.857373827
4,9.129171718,3.093325123
5,4.75857608,9.992699437
1,7.136802997,0.297157294
2,8.297534804,3.054259277
11,6.757978546,1.272210155
8,3.397016528,6.046625981
11,8.908299017,3.239329101
2,5.288292593,9.420042618
2,8.743374706,8.796689725
18,2.586569279,3.145840133
5,5.424460659,3.744131716
1,2.160012054,5.047222315
19,2.167205901,5.166204136
6,4.740407923,2.001277725
2,8.927340284,4.297608
20,3.0171696,3.892152212
2,5.552189797,9.888358896
1,7.552162167,6.87542459
2,9.564254242,2.108109845
0,9.543114859,4.484369685
2,3.333647235,8.907700912
11,5.166841056,6.262812354
5,1.481895912,4.862613224
6,3.568195989,2.901136323
9,7.04566315,2.538443622
1,0.804056409,3.912012787
6,2.515608759,4.014482785
0,0.514353216,9.754148875
3,7.385253026,9.94347296
5,0.137585073,4.097078789
0,0.423548373,5.628186048
3,2.818201287,0.311413677
0,0.407166102,7.73986249
3,6.322805225,9.849019316
2,7.548413333,3.34426034
1,0.509465074,4.589706589
2,6.296638537,2.300299178
1,3.57108946,9.210401301
30,8.081414066,5.571105257
4,6.716642415,6.128378282
9,0.218871515,2.372977654
3,6.895389669,4.68157253
0,8.873546086,9.059944539
1,5.372092647,5.842357611
18,8.850263585,0.577128318
6,9.141745109,1.832495984
3,8.489799472,5.184090687
1,2.935092358,3.944268548
1,7.841864116,4.886142132
8,4.937019907,1.514661768
0,9.825739933,9.211910674
3,2.432010807,7.165701927
2,0.729995195,7.965024028
2,2.316565965,3.693178471
4,2.799116916,5.727391124
2,9.709603188,3.892239768
1,6.589957816,9.098052955
3,6.701121344,6.427444846
0,2.098385275,8.85381985
6,9.906224522,0.690545146
10,5.340881005,8.083509556
16,5.743727277,0.674823222
1,7.722397365,4.536571361
6,3.570894308,1.801059199
9,2.566612319,6.341362454
2,3.164458764,7.632375243
1,7.444436129,1.62196303
1,4.996659756,1.565601579
1,7.088091853,8.702791089
4,4.148964521,2.187177888
2,2.099112161,5.908880027
3,0.808626486,7.008397649
6,1.592901184,8.208398817
12,5.040896076,7.173120084
0,8.354406722,4.152440545
0,4.874499829,5.314387577
12,4.327318915,0.032462142
2,8.806915847,2.520997233
1,7.64911714,1.5522892
0,0.548609865,8.788397913
14,1.992177607,2.035111629
17,6.868246887,5.835284041
7,8.99250715,8.044733864
4,0.457386898,2.647165824
0,0.896180924,4.057427284
1,4.408768094,3.803584487
10,7.779656476,2.409512708
1,1.400850937,8.420697043
4,6.787486926,0.070993549
1,0.475980097,4.764153655
0,6.056477558,8.745157162
1,4.50144442,5.66878652
3,7.477808411,5.008246172
1,1.77149523,8.745211498
3,6.548571156,5.242939573
17,1.641084503,0.925511022
24,2.61713722,1.345715036
10,0.950373854,0.43020925
1,3.944601626,5.795272645
9,2.132182317,0.749190652
7,6.405314005,1.092404292
1,2.576196564,0.269805011
0,0.946140429,4.496572241
22,0.703983414,8.027791542
7,1.883563031,0.946207773
42,8.731384873,0.217266413
0,9.811035944,8.659967293
2,3.90919701,5.822039407
8,0.178985111,1.56790239
3,0.445446039,5.144035094
4,1.077642534,9.42464029
0,5.703009495,8.590732827
0,8.390187593,6.1447167
3,8.15029826,6.212294863
8,8.61848484,7.702073592
10,8.531668186,5.592234635
14,7.995043849,1.046351483
0,0.197318227,1.607283696
4,5.226710963,9.210178198
2,3.635118345,8.588293847
2,6.269848165,7.683692938
6,9.159179062,0.215932259
0,1.828204698,9.000298087
2,4.485903184,4.220555967
0,2.571412858,8.156205281
7,5.941185644,1.659904239
3,3.96485477,7.023295444
2,8.73604408,1.465838095
4,1.749810404,7.836508839
4,8.095103994,2.223053221
60,7.94222777,1.179665027
2,6.048842606,9.506260301
0,0.521602521,6.353274118
4,6.913222817,4.704337053
19,1.514102812,1.204227216
1,2.005739885,4.801948578
8,1.034871149,3.680398222
5,0.12661858,9.090026452
3,6.525391033,1.528726341
8,2.420397496,8.555424844
2,1.289353371,9.073813672
1,0.583229729,8.998589201
1,7.068289786,5.149455054
0,0.30552387,4.167803556
2,8.803241909,4.691754486
17,0.163111233,1.972564242
2,5.10063671,3.297794736
3,6.443360436,9.553892256
0,6.96770018,5.848250261
2,6.579332219,6.185677757
0,2.565205412,4.952882272
1,9.977724152,5.181862616
2,6.927435114,3.252413713
2,0.506503335,5.528173866
14,1.01665383,0.177831065
31,4.801661903,0.56972651
14,4.694027989,3.887343446
8,2.661959045,1.100592148
5,0.892610601,0.580943148
9,6.114607349,1.926048575
1,3.949973227,6.165218849
8,5.396190931,5.936251318
26,8.616059581,5.976856791
1,7.524075874,9.065957663
1,7.582136039,4.455239361
1,9.238960531,7.212860365
5,3.289698474,2.375082502
2,1.563759132,1.422957811
1,2.151963185,8.566556736
4,1.128235296,0.750631872
10,1.957844247,0.216751469
11,8.576610277,1.223916207
2,2.277071632,6.935787741
1,7.67020935,4.604683539
5,6.171421632,2.702012467
10,5.690641275,4.550951822
1,1.539704488,5.104764774
2,0.348332154,2.196584644
4,9.979534568,4.000942581
3,8.355736835,7.291848832
8,5.86562027,1.638443256
0,3.391166758,9.634419444
0,1.668834381,9.431385605
2,8.07410151,3.58087732
32,6.494508022,3.939487431
10,7.056122408,2.562414212
9,4.514906688,3.065975346
17,0.722174125,1.315824229
3,3.629638962,9.811113137
55,6.47042569,5.985258222
0,7.25568118,7.485473803
29,4.224666941,0.719438815
7,5.914490584,5.808562774
2,7.97899557,6.14933087
4,8.476122317,4.851814453
2,0.006632213,7.832351807
2,2.99983195,5.461764997
0,6.938868931,6.166097792
7,9.637691448,3.989708764
0,1.297646326,2.208970378
6,0.757581086,2.499661606
4,5.6754618,2.487221581
2,5.55150931,8.269106101
4,0.616075399,5.885597903
0,6.741723125,6.890065735
0,9.140173891,9.342183911
3,8.877738719,6.714125678
1,3.248030446,8.405962314
12,0.92671654,4.721153688
1,8.311156239,5.463380797
4,1.272207014,9.035271332
1,8.686945545,9.692675208
0,9.530964773,0.870215415
2,4.99143054,5.97765781
3,6.547387971,9.399521069
4,1.937927669,1.265663719
1,7.628558362,9.26261703
1,5.474165496,0.245150162
5,2.138320669,8.233665202
1,6.917669368,8.206313134
0,9.728134095,0.955632287
9,5.561450913,0.596761876
1,5.280782699,6.089566411
2,2.165940066,3.581187781
4,6.805652566,2.120944539
0,7.460168335,6.184355051
1,4.642023782,3.53117618
7,1.374180624,8.444423417
7,8.143796124,2.723852457
4,8.321612591,9.625027687
4,3.543100806,0.076085515
7,9.787328369,4.960443759
1,9.880350223,3.039639345
6,6.346590011,0.999677551
1,9.421523781,1.418853104
0,0.140074624,9.030495863
6,0.253315901,5.546292812
2,4.86318653,5.940521115
1,2.678519811,1.85394271
0,7.640790571,8.83408362
7,4.880543659,4.686889816
0,7.468973461,9.596899687
5,0.425657055,9.447373229
17,4.406428277,3.147437226
23,1.460658438,1.142896863
3,4.419432953,5.25504658
6,2.841142307,0.482292045
0,0.736242435,7.728218448
1,6.853507245,5.27643352
0,7.948184593,6.745116576
0,5.382094954,1.715169328
1,0.245878273,9.533614696
6,2.783199134,1.707536094
1,8.409465838,6.593969672
4,4.674108138,8.073192195
0,7.602114095,1.633844993
2,9.980640761,5.629869946
4,7.778307504,4.122144612
0,8.79567079,9.025255709
1,4.935257139,4.550879623
3,7.087179453,1.390899359
2,4.875715945,7.980904663
1,7.820409164,6.527571271
3,9.118113746,4.779633023
1,2.859922443,4.896147402
1,6.083711388,9.184405
13,5.410003664,1.0455053
40,9.96450112,3.913654152
12,6.108447842,1.747173723
11,2.103917589,2.167597639
0,3.175962302,4.220366948
0,9.058603854,9.849079314
0,3.234747078,5.565661085
0,5.609061122,1.791213455
